productType,price,sqft,rooms,bathrooms,location,pricePerSqft,latitude,longitude
Apartment,2150000,1117,1,2,Business Bay,1924.7985675917637,25.184561,55.291356
House,5500000,5500,5,6,Al Furjan,1000.0,25.021459780094,55.144057019476
Apartment,800000,457,0,1,Business Bay,1750.54704595186,25.177135328389,55.271064341014
Residence,23000000,5791,4,5,Dubai Marina,3971.680193403557,25.086438,55.147157
Apartment,890000,885,1,2,Jumeirah Village Circle (JVC),1005.6497175141243,25.047434,55.211363
Apartment,7300000,1910,3,4,Dubai Harbour,3821.9895287958116,25.097018737277,55.139677392845
Apartment,850000,1008,2,2,Remraam,843.2539682539683,25.003639,55.249773
Apartment,520000,412,0,1,DAMAC Hills,1262.1359223300972,25.025242525869,55.244142941172
House,11500000,5833,6,6,Dubai Sports City,1971.5412309274816,25.027934581277,55.213651076286
House,9000000,8000,5,6,The Villa,1125.0,25.090991552941,55.368693828066
House,4500000,2455,3,3,The Springs,1832.9938900203665,25.060462361189,55.188138570738
Residence,4749999,3646,4,6,Meydan City,1302.7973121228745,25.145083747801,55.300175862525
Apartment,1000000,1147,3,2,Jumeirah Lake Towers (JLT),871.8395815170009,25.065853,55.137395
Apartment,1400000,1402,2,3,Al Furjan,998.5734664764622,25.032903,55.147666
House,3200000,2788,4,3,Dubai Sports City,1147.7761836441894,25.035572524695,55.217909290647
Residence,4400000,2462,4,4,Dubai Hills Estate,1787.1649065800163,25.098793405011,55.253703993446
Apartment,1650000,887,2,2,Business Bay,1860.2029312288614,25.186702,55.282607
House,2800000,1685,4,6,Jumeirah Village Circle (JVC),1661.7210682492582,25.056544,55.201902
Residence,7500000,4058,3,4,Dubai Marina,1848.2010842779694,25.086399078369,55.148899078369
House,13500000,5658,5,6,Jumeirah Golf Estates,2386.002120890774,25.021851870005,55.18851551623
House,3900000,2174,4,4,Dubai Hills Estate,1793.9282428702852,25.092683607735,55.253987543091
House,10600000,6210,5,5,Green Community,1706.9243156199677,25.005597807697,55.160809410513
Residence,1925000,2025,3,3,Town Square,950.6172839506173,24.997635907496,55.295680495962
Apartment,2100000,1779,2,3,Dubai Marina,1180.4384485666105,25.087999343872,55.149101257324
House,5800000,3102,3,3,Dubai Hills Estate,1869.7614442295294,25.100788878556,55.248185494388
House,3950000,2456,3,3,The Springs,1608.3061889250814,25.057825247579,55.18137589269
