productType,price,sqft,rooms,bathrooms,location,pricePerSqft
Apartment,2150000,1117,1,2,Business Bay,1924.7985675917637
House,5500000,5500,5,6,Al Furjan,1000.0
Apartment,800000,457,0,1,Business Bay,1750.54704595186
Residence,23000000,5791,4,5,Dubai Marina,3971.680193403557
Apartment,890000,885,1,2,Jumeirah Village Circle (JVC),1005.6497175141243
Apartment,7300000,1910,3,4,Dubai Harbour,3821.9895287958116
Apartment,850000,1008,2,2,Remraam,843.2539682539683
Apartment,520000,412,0,1,DAMAC Hills,1262.1359223300972
House,11500000,5833,6,6,Dubai Sports City,1971.5412309274816
House,9000000,8000,5,6,The Villa,1125.0
House,4500000,2455,3,3,The Springs,1832.9938900203665
Residence,4749999,3646,4,6,Meydan City,1302.7973121228745
Apartment,1000000,1147,3,2,Jumeirah Lake Towers (JLT),871.8395815170009
Apartment,1400000,1402,2,3,Al Furjan,998.5734664764622
House,3200000,2788,4,3,Dubai Sports City,1147.7761836441894
Residence,4400000,2462,4,4,Dubai Hills Estate,1787.1649065800163
Apartment,1650000,887,2,2,Business Bay,1860.2029312288614
House,2800000,1685,4,6,Jumeirah Village Circle (JVC),1661.7210682492582
Residence,7500000,4058,3,4,Dubai Marina,1848.2010842779694
House,13500000,5658,5,6,Jumeirah Golf Estates,2386.002120890774
House,3900000,2174,4,4,Dubai Hills Estate,1793.9282428702852
House,10600000,6210,5,5,Green Community,1706.9243156199677
Residence,1925000,2025,3,3,Town Square,950.6172839506173
Apartment,2100000,1779,2,3,Dubai Marina,1180.4384485666105
House,5800000,3102,3,3,Dubai Hills Estate,1869.7614442295294
House,3950000,2456,3,3,The Springs,1608.3061889250814
Apartment,3500000,1664,2,3,Dubai Marina,2103.3653846153848
Apartment,490000,410,0,1,Jumeirah Village Circle (JVC),1195.121951219512
Apartment,700000,445,0,1,Business Bay,1573.0337078651685
Apartment,1350000,645,1,1,Dubai Hills Estate,2093.0232558139537
Apartment,2900000,1143,1,2,Palm Jumeirah,2537.1828521434823
Apartment,3100000,1012,1,2,Palm Jumeirah,3063.2411067193675
Apartment,950000,667,1,2,Dubai Marina,1424.287856071964
Apartment,2450000,1580,2,3,Downtown Dubai,1550.632911392405
Apartment,1150000,1496,2,2,Remraam,768.716577540107
Apartment,5100000,1366,2,2,Jumeirah,3733.5285505124452
House,4375000,4650,4,4,Arabian Ranches 2,940.8602150537635
Residence,4500000,3024,4,4,Dubai Hills Estate,1488.095238095238
Apartment,420000,481,0,1,Dubai Sports City,873.1808731808732
Apartment,3600000,840,1,2,Downtown Dubai,4285.714285714285
House,7650000,2940,3,3,Dubai Hills Estate,2602.0408163265306
Apartment,3900000,1743,2,2,Palm Jumeirah,2237.5215146299483
House,2150000,1735,3,3,Dubailand,1239.193083573487
Apartment,1490000,887,1,1,Downtown Dubai,1679.8196166854566
Apartment,1300000,350,0,1,Palm Jumeirah,3714.285714285714
House,3000000,6989,2,3,Jumeirah Village Triangle (JVT),429.24595793389614
Apartment,500000,481,0,1,Arjan,1039.5010395010395
House,4100000,2551,3,4,The Springs,1607.2128577028616
Apartment,5500000,1709,2,3,Palm Jumeirah,3218.256290228204
Apartment,1200000,670,1,2,Business Bay,1791.044776119403
Apartment,3950000,1784,3,4,The Hills,2214.1255605381166
Apartment,13000000,3826,3,4,Downtown Dubai,3397.804495556717
House,13000000,5004,5,7,Nad Al Sheba,2597.921662669864
Apartment,1679000,604,0,1,Downtown Dubai,2779.801324503311
Residence,2380000,3000,4,5,Jumeirah Village Circle (JVC),793.3333333333334
Apartment,1100000,485,1,1,Business Bay,2268.041237113402
Apartment,2895000,2611,2,3,Dubai Marina,1108.7705859823823
House,6950000,6400,5,5,The Villa,1085.9375
Apartment,2500000,1431,2,3,Downtown Dubai,1747.0300489168415
Apartment,2550000,746,1,1,Downtown Dubai,3418.230563002681
House,2300000,1943,3,4,Arabian Ranches 3,1183.7364899639733
House,12500000,4931,5,5,The Meadows,2534.9827621172176
House,7250000,3324,4,3,Arabian Ranches,2181.107099879663
Residence,7600000,6313,4,6,Business Bay,1203.8650403928402
Residence,2700000,2723,3,5,DAMAC Hills,991.5534337128167
Apartment,3300000,1133,1,1,Downtown Dubai,2912.621359223301
Residence,3100000,2406,4,3,Arabian Ranches 3,1288.445552784705
House,6500000,3186,3,3,Dubai Hills Estate,2040.1757689893284
House,3100000,2584,4,4,Arabian Ranches 3,1199.6904024767803
Apartment,3500000,2057,3,3,Dubai Marina,1701.507049100632
Apartment,2550000,1258,2,3,Downtown Dubai,2027.027027027027
House,10750000,4286,5,5,Dubai Hills Estate,2508.166122258516
